 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,115.748,17.29,7.136,17.29,7.136,57.536,24.528,6.009,179.959,0.439,24.448,1,4.634,9.69,3.853,5.645,4.082,0.245,0.986,0,4.082
2,115.727,17.303,7.135,17.303,7.135,56.083,24.523,6.009,179.94,0.462,23.826,2,5.266,9.69,2.534,5.645,4.081,0.245,0.991,0.01668335,4.081
3,107.384,17.158,7.301,17.158,7.301,53.444,24.393,5.605,179.864,0.472,23.312,3,5.561,8.004,177.929,5.266,4.352,0.23,0.995,0.0333667,4.352
4,124.605,17.29,6.615,17.29,6.615,50.989,22.688,6.993,179.747,0.602,21.089,4,6.783,6.53,177.252,6.361,3.245,0.308,0.996,0.05005005,3.245
5,150.966,17.376,5.217,17.377,5.217,51.557,18.986,10.124,179.313,0.714,18.186,5,8.341,5.266,176.813,9.563,1.875,0.533,0.993,0.0667334,1.875
6,155.021,17.431,4.667,17.431,4.667,50.477,18.282,10.796,179.818,0.765,17.72,6,8.805,0.8,157.642,9.69,1.693,0.591,0.992,0.08341675,1.693
7,158.159,17.531,4.443,17.531,4.443,51.416,19.361,10.401,179.37,0.752,19.222,7,7.878,2.738,177.99,9.69,1.861,0.537,0.988,0.1001001,1.861
8,162.627,17.573,4.459,17.573,4.459,52.294,20.47,10.116,179.791,0.747,19.62,8,7.794,3.328,176.8,9.69,2.024,0.494,0.99,0.11678345,2.024
9,169.509,17.572,4.662,17.572,4.662,53.048,20.822,10.365,0.16,0.757,19.815,9,7.71,3.876,177.807,9.69,2.009,0.498,0.989,0.1334668,2.009
10,171.309,17.582,4.834,17.582,4.834,53.102,20.51,10.635,0.3,0.763,19.399,10,7.92,5.35,2.614,9.69,1.929,0.518,0.996,0.15015015,1.929
11,172.301,17.546,4.922,17.546,4.922,53.362,20.478,10.713,0.424,0.76,19.138,11,8.131,6.993,10.271,9.69,1.911,0.523,0.996,0.1668335,1.911
12,169.66,17.492,4.996,17.492,4.996,52.375,20.482,10.547,0.278,0.777,19.526,12,7.71,5.224,177.403,9.647,1.942,0.515,0.995,0.18351685,1.942
13,165.915,17.47,5.026,17.47,5.026,52.58,20.208,10.454,179.635,0.754,19.31,13,7.836,4.929,177.749,9.647,1.933,0.517,0.994,0.2002002,1.933
14,162.025,17.524,4.97,17.524,4.97,50.861,19.491,10.584,178.972,0.787,18.44,14,8.384,5.266,176.726,9.647,1.842,0.543,0.995,0.21688355,1.842
15,159.734,17.649,4.857,17.649,4.857,50.7,19.171,10.609,179.724,0.781,18.028,15,8.594,4.002,176.248,9.647,1.807,0.553,0.995,0.2335669,1.807
16,155.35,17.743,4.78,17.743,4.78,49.596,18.894,10.469,0.251,0.794,18.067,16,8.763,5.224,3.61,9.647,1.805,0.554,0.995,0.25025025,1.805
17,153.902,17.788,4.821,17.788,4.821,49.438,18.551,10.563,0.619,0.791,17.557,17,9.058,4.971,3.439,9.647,1.756,0.569,0.995,0.2669336,1.756
18,152.533,17.789,4.903,17.789,4.903,49.036,18.354,10.582,0.398,0.797,17.319,18,9.142,5.814,4.185,9.647,1.734,0.577,0.995,0.28361695,1.734
19,153.795,17.722,4.977,17.722,4.977,49.118,18.61,10.522,1.35E-04,8.01E-01,17.683,19,8.889,6.067,3.415,9.647,1.769,0.565,0.995,0.3003003,1.769
20,156.271,17.711,4.968,17.711,4.968,49.995,18.885,10.536,179.344,0.786,17.923,20,8.805,4.634,175.281,9.647,1.792,0.558,0.995,0.31698365,1.792
21,159.002,17.788,4.928,17.788,4.928,50.293,19.206,10.541,179.054,0.79,18.235,21,8.678,4.676,176.424,9.647,1.822,0.549,0.995,0.333667,1.822
22,161.782,17.895,4.892,17.895,4.892,50.803,19.498,10.564,179.725,0.788,18.443,22,8.678,4.339,176.595,9.647,1.846,0.542,0.995,0.35035035,1.846
23,165.088,18.029,4.86,18.029,4.86,51.323,19.876,10.575,0.57,0.788,18.766,23,8.678,5.603,4.635,9.647,1.879,0.532,0.996,0.3670337,1.879
24,166.909,18.112,4.836,18.112,4.836,51.82,20.108,10.569,0.53,0.781,19.057,24,8.636,5.435,4.438,9.647,1.903,0.526,0.996,0.38371705,1.903
25,167.951,18.133,4.848,18.133,4.848,52.056,20.163,10.606,0.102,0.779,19.025,25,8.636,5.224,2.919,9.647,1.901,0.526,0.996,0.4004004,1.901
26,166.123,18.075,4.885,18.075,4.885,51.571,19.98,10.587,179.893,0.785,18.898,26,8.636,4.508,177.061,9.647,1.887,0.53,0.996,0.41708375,1.887
27,164.636,18.056,4.936,18.056,4.936,51.372,19.783,10.596,179.624,0.784,18.7,27,8.721,4.676,176.383,9.647,1.867,0.536,0.996,0.4337671,1.867
