 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,108.035,12.998,9.737,12.998,9.737,57.987,23.645,5.817,0.104,0.404,24.337,1,0,12.217,4.368,5.477,4.065,0.246,0.974,0,4.065
2,104.924,12.96,9.758,12.96,9.758,52.449,23.382,5.714,179.95,0.479,22.163,2,1.896,10.195,179.02,5.392,4.092,0.244,0.993,0.01668335,4.092
3,124.425,13.015,8.891,13.015,8.891,58.43,21.08,7.515,0.267,0.458,23.139,3,0,12.217,9.325,6.825,2.805,0.357,0.934,0.0333667,2.805
4,148.456,13.036,7.478,13.036,7.478,60.641,17.537,10.778,0.608,0.507,22.03,4,0,12.217,14.621,10.237,1.627,0.615,0.896,0.05005005,1.627
5,167.175,13.092,6.167,13.092,6.167,50.378,15.968,13.33,2.658,0.828,16.81,5,6.825,11.501,38.794,12.133,1.198,0.835,0.99,0.0667334,1.198
6,169.665,13.05,5.686,13.05,5.686,52.335,16.566,13.04,2.963,0.778,16.922,6,7.204,10.616,34.758,12.133,1.27,0.787,0.986,0.08341675,1.27
7,168.519,13.026,5.414,13.026,5.415,53.99,17.469,12.283,1.068,0.727,17.84,7,4.129,4.213,2.707,12.133,1.422,0.703,0.982,0.1001001,1.422
8,161.792,12.977,5.083,12.977,5.084,52.086,18.749,10.987,0.07,0.749,18.253,8,3.834,4.55,178.016,10.448,1.706,0.586,0.99,0.11678345,1.706
9,162.708,12.922,5.151,12.921,5.154,52.663,19,10.904,0.008,0.737,18.277,9,3.792,4.676,176.432,10.279,1.742,0.574,0.988,0.1334668,1.742
10,172.292,12.925,5.719,12.925,5.719,53.636,18.124,12.104,179.847,0.753,17.924,10,3.96,5.435,177.306,12.049,1.497,0.668,0.984,0.15015015,1.497
11,175.753,12.943,6.075,12.943,6.075,55.464,17.439,12.832,0.353,0.718,17.5,11,4.255,4.971,177.516,12.133,1.359,0.736,0.987,0.1668335,1.359
12,173.426,12.928,6.289,12.928,6.289,52.954,16.85,13.105,0.908,0.777,17.001,12,6.193,11.543,38.46,12.007,1.286,0.778,0.99,0.18351685,1.286
13,168.79,12.883,6.517,12.883,6.517,51.678,16.635,12.919,2.654,0.794,17.023,13,5.814,11.417,37.863,11.796,1.288,0.777,0.991,0.2002002,1.288
14,160.791,12.783,6.851,12.783,6.851,50.468,16.866,12.139,2.109,0.793,16.884,14,4.424,7.92,3.576,11.67,1.389,0.72,0.987,0.21688355,1.389
15,153.264,12.692,7.215,12.692,7.216,48.263,17.506,11.147,1.064,0.827,17.127,15,4.086,7.962,2.961,10.743,1.57,0.637,0.994,0.2335669,1.57
16,148.84,12.592,7.36,12.592,7.36,47.632,17.518,10.818,0.71,0.824,16.734,16,4.213,7.12,175.524,10.111,1.619,0.618,0.995,0.25025025,1.619
17,158.067,12.558,6.929,12.558,6.929,52.794,16.735,12.026,0.093,0.713,16.779,17,4.213,7.541,177.842,11.67,1.392,0.719,0.987,0.2669336,1.392
