 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,79.734,12.17,11.541,12.17,11.541,41.556,17.861,5.684,179.967,0.58,17.374,1,3.455,13.144,2.502,5.392,3.142,0.318,0.994,0,3.142
2,79.831,12.177,11.54,12.177,11.54,41.795,17.878,5.685,179.973,0.574,17.38,2,3.455,13.144,2.918,5.392,3.145,0.318,0.994,0.01668335,3.145
3,85.846,12.113,11.057,12.113,11.057,39.758,16.548,6.605,179.867,0.682,15.602,3,4.339,11.122,177.524,6.151,2.505,0.399,0.994,0.0333667,2.505
4,104.716,12.208,9.647,12.208,9.647,39.319,13.585,9.814,178.934,0.851,13.267,4,5.603,9.816,175.629,9.479,1.384,0.722,0.995,0.05005005,1.384
5,129.216,12.333,7.838,12.333,7.838,43.607,13.946,11.797,91.003,0.854,14.389,5,10.743,0.674,112.736,11.88,1.182,0.846,0.994,0.0667334,1.182
6,141.458,12.369,6.733,12.369,6.733,46.001,15.19,11.857,89.622,0.84,15.625,6,9.605,13.945,61.846,11.206,1.281,0.781,0.991,0.08341675,1.281
7,141.533,12.404,5.938,12.404,5.938,47.256,14.299,12.603,87.104,0.796,15.354,7,10.322,13.397,59.495,13.205,1.135,0.881,0.979,0.1001001,1.135
8,129.035,12.469,4.976,12.469,4.976,46.054,13.726,11.969,2.132,0.765,14.927,8,5.055,2.865,177.574,12.175,1.147,0.872,0.952,0.11678345,1.147
9,107.234,12.529,3.882,12.53,3.869,42.486,15.888,8.594,0.133,0.747,15.192,9,4.971,4.381,3.338,8.889,1.849,0.541,0.966,0.1334668,1.849
10,105.717,12.562,3.888,12.562,3.888,41.395,15.888,8.472,179.713,0.775,15.276,10,4.929,3.37,176.68,8.047,1.875,0.533,0.992,0.15015015,1.875
11,114.32,12.575,4.374,12.575,4.374,41.17,14.401,10.107,179.181,0.848,14.418,11,5.35,3.37,177.823,9.942,1.425,0.702,0.994,0.1668335,1.425
