 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,81.189,10.073,9.489,10.073,9.489,41.661,18.069,5.721,179.871,0.588,17.451,1,1.39,10.069,178.063,5.435,3.158,0.317,0.994,0,3.158
2,81.157,10.068,9.489,10.068,9.489,41.661,18.07,5.719,179.856,0.588,17.422,2,1.39,10.027,177.089,5.435,3.16,0.316,0.994,0.01668335,3.16
3,88.718,10.023,8.96,10.023,8.96,46.871,16.786,6.729,0.038,0.507,18.211,3,0,11.922,10.53,6.277,2.494,0.401,0.942,0.0333667,2.494
4,109.494,10.139,7.56,10.139,7.56,73.05,14.005,9.954,177.986,0.258,26.583,4,0,11.838,179.818,9.732,1.407,0.711,0.699,0.05005005,1.407
5,124.979,10.22,6.121,10.219,6.123,81.54,12.872,12.362,104.797,0.236,26.583,5,0,11.838,179.818,11.922,1.041,0.96,0.602,0.0667334,1.041
6,126.427,10.283,5.464,10.283,5.464,79.283,12.871,12.507,87.178,0.253,21.991,6,0,11.838,179.78,11.922,1.029,0.972,0.63,0.08341675,1.029
7,122.645,10.272,4.918,10.272,4.914,45.598,13.298,11.743,1.604,0.741,14.378,7,3.118,3.707,2.351,11.922,1.132,0.883,0.956,0.1001001,1.132
8,108.459,10.309,4.055,10.308,4.056,42.648,15.374,8.982,0.338,0.749,14.951,8,2.865,4.213,4.04,8.973,1.712,0.584,0.979,0.11678345,1.712
9,109.476,10.356,4.138,10.356,4.138,42.463,15.492,8.998,0.589,0.763,15.004,9,2.865,4.002,1.609,8.678,1.722,0.581,0.988,0.1334668,1.722
10,118.639,10.378,4.756,10.378,4.756,42.517,14.16,10.668,179.265,0.825,14.388,10,3.202,4.634,3.189,10.659,1.327,0.753,0.991,0.15015015,1.327
11,125.446,10.378,5.433,10.378,5.433,45.154,13.077,12.214,171.491,0.773,13.764,11,4.803,0.463,131.153,11.922,1.071,0.934,0.989,0.1668335,1.071
12,124.207,10.387,6.009,10.387,6.009,43.953,12.622,12.529,164.708,0.808,13.982,12,5.772,0.548,125.558,11.627,1.007,0.993,0.99,0.18351685,1.007
13,122.328,10.443,6.575,10.443,6.575,42.886,12.777,12.19,174.754,0.836,13.531,13,7.457,0.59,123.443,11.543,1.048,0.954,0.992,0.2002002,1.048
14,116.46,10.491,7.201,10.491,7.201,52.618,13.422,11.048,179.934,0.529,17.718,14,0,11.922,14.598,10.785,1.215,0.823,0.905,0.21688355,1.215
15,106.434,10.517,7.86,10.517,7.86,51.343,14.858,9.121,179.567,0.507,18.228,15,0,11.922,15.964,8.721,1.629,0.614,0.901,0.2335669,1.629
16,104.698,10.521,8.055,10.521,8.055,51.189,15.427,8.641,179.241,0.502,18.423,16,0,11.922,14.163,8.173,1.785,0.56,0.906,0.25025025,1.785
17,109.882,10.576,7.779,10.576,7.779,50.938,14.603,9.581,179.585,0.532,18.109,17,0,11.922,12.905,9.268,1.524,0.656,0.912,0.2669336,1.524
18,117.328,10.728,7.134,10.728,7.134,52.894,13.508,11.059,0.987,0.527,17.969,18,0,11.922,16.481,10.785,1.221,0.819,0.891,0.28361695,1.221
19,122.471,10.874,6.422,10.874,6.422,43.463,12.9,12.088,173.204,0.815,13.229,19,8.047,0.59,121.058,11.585,1.067,0.937,0.991,0.3003003,1.067
20,121.687,10.921,5.932,10.921,5.932,42.485,12.568,12.328,1.403,0.847,13.442,20,6.53,0.548,122.196,11.665,1.019,0.981,0.991,0.31698365,1.019
21,121.996,11.004,5.451,11.004,5.451,43.027,12.675,12.255,1.509,0.828,13.287,21,9.226,11.922,58.88,11.922,1.034,0.967,0.99,0.333667,1.034
22,114.802,11.12,4.87,11.12,4.87,42.018,13.645,10.713,179.62,0.817,13.624,22,4.381,4.971,5.323,10.659,1.274,0.785,0.99,0.35035035,1.274
23,106.228,11.252,4.48,11.252,4.48,41.117,14.774,9.155,0.692,0.79,14.297,23,4.086,5.14,2.702,8.51,1.614,0.62,0.991,0.3670337,1.614
24,110.548,11.323,4.624,11.323,4.624,42.16,14.63,9.621,178.566,0.782,14.501,24,4.086,4.339,178.002,9.479,1.521,0.658,0.99,0.38371705,1.521
25,120.043,11.364,4.988,11.364,4.988,42.964,13.74,11.124,177.464,0.817,13.687,25,4.55,2.865,173.816,10.953,1.235,0.81,0.99,0.4004004,1.235
26,126.676,11.47,5.456,11.47,5.456,44.797,13.1,12.312,175.086,0.793,13.65,26,6.024,0.506,133.249,11.922,1.064,0.94,0.99,0.41708375,1.064
27,124.725,11.568,5.956,11.568,5.956,43.321,13.069,12.151,177.526,0.835,13.142,27,7.33,0.548,130.84,11.627,1.076,0.93,0.991,0.4337671,1.076
28,122.54,11.654,6.491,11.654,6.491,43.032,12.903,12.092,5.231,0.832,13.15,28,8.678,0.632,120.838,11.543,1.067,0.937,0.991,0.45045045,1.067
29,116.046,11.679,7.019,11.679,7.019,41.016,13.059,11.315,0.413,0.867,12.984,29,6.067,11.248,36.424,10.911,1.154,0.866,0.995,0.4671338,1.154
30,109.572,11.794,7.495,11.794,7.495,40.28,13.834,10.085,0.676,0.849,13.771,30,4.887,7.794,175.79,9.858,1.372,0.729,0.994,0.48381715,1.372
31,105.926,11.91,7.757,11.91,7.757,39.999,14.447,9.336,179.487,0.832,14.057,31,4.929,8.299,3.608,9.016,1.548,0.646,0.994,0.500500501,1.548
32,106.276,12,7.747,12,7.747,39.983,14.378,9.411,178.894,0.835,13.936,32,5.14,7.162,172.531,9.016,1.528,0.655,0.994,0.517183851,1.528
33,114.288,12.065,7.277,12.065,7.277,40.792,13.652,10.659,1.044,0.863,13.645,33,5.224,7.92,175.751,10.406,1.281,0.781,0.994,0.533867201,1.281
34,118.577,12.104,6.822,12.104,6.822,41.612,13.094,11.531,2.676,0.861,13.209,34,7.162,11.922,42.544,11.122,1.136,0.881,0.993,0.550550551,1.136
35,122.555,12.207,6.308,12.207,6.308,43.85,12.791,12.2,4.506,0.801,13.281,35,8.384,11.922,58.226,11.585,1.048,0.954,0.991,0.567233901,1.048
36,121.011,12.322,5.969,12.322,5.969,42.302,12.691,12.14,8.249,0.85,13.128,36,9.732,11.922,59.32,11.501,1.045,0.957,0.993,0.583917251,1.045
37,119.983,12.359,5.471,12.359,5.471,44.233,12.873,11.868,173.738,0.771,13.249,37,7.373,0.548,131.649,11.596,1.085,0.922,0.989,0.600600601,1.085
38,114.872,12.371,5.081,12.371,5.081,42.23,13.449,10.875,176.302,0.809,13.269,38,6.024,2.78,164.155,10.701,1.237,0.809,0.99,0.617283951,1.237
