 ,Area,X,Y,XM,YM,Perim.,Major,Minor,Angle,Circ.,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,time,AR
1,108.72,14.47,11.592,14.47,11.592,53.433,23.725,5.835,179.942,0.479,22.717,1,3.118,13.018,1.7,5.477,4.066,0.246,0.994,0,4.066
2,107.781,14.482,11.546,14.482,11.546,52.178,23.369,5.872,179.85,0.497,22.084,2,3.497,11.838,178.36,5.519,3.979,0.251,0.994,0.01668335,3.979
3,127.203,14.538,10.617,14.538,10.617,48.547,20.693,7.827,179.88,0.678,19.391,3,4.845,11.122,1.992,7.162,2.644,0.378,0.996,0.0333667,2.644
4,151.154,14.576,9.179,14.576,9.179,48.067,17.156,11.218,0.508,0.822,16.664,4,6.235,10.279,3.043,10.869,1.529,0.654,0.995,0.05005005,1.529
5,176.763,14.587,7.417,14.587,7.417,51.805,15.257,14.752,78.248,0.828,17.037,5,9.1,14.071,53.243,14.071,1.034,0.967,0.983,0.0667334,1.034
6,189.242,14.558,6.675,14.558,6.675,54.257,15.597,15.449,45.602,0.808,17.815,6,9.732,13.818,48.355,14.071,1.01,0.991,0.982,0.08341675,1.01
7,198.091,14.549,6.23,14.549,6.23,56.117,16.968,14.864,1.557,0.79,17.82,7,5.729,4.171,3.931,14.071,1.142,0.876,0.98,0.1001001,1.142
8,198.838,14.503,5.811,14.503,5.811,57.968,18.441,13.728,0.392,0.744,19.413,8,4.845,4.887,3.359,14.071,1.343,0.744,0.962,0.11678345,1.343
9,193.304,14.503,5.404,14.502,5.403,60.942,20,12.306,179.257,0.654,20.267,9,4.381,3.96,176.186,14.071,1.625,0.615,0.918,0.1334668,1.625
10,183.271,14.529,5.102,14.529,5.102,56.288,21.535,10.836,178.928,0.727,20.495,10,4.255,4.634,177.408,10.262,1.987,0.503,0.979,0.15015015,1.987
11,194.696,14.558,5.581,14.558,5.581,56.28,20.671,11.992,179.176,0.772,19.94,11,4.592,4.887,177.942,11.838,1.724,0.58,0.99,0.1668335,1.724
12,202.372,14.541,6.204,14.541,6.204,55.472,19.067,13.514,179.597,0.826,19.319,12,4.887,5.561,177.125,13.565,1.411,0.709,0.994,0.18351685,1.411
13,203.664,14.545,6.563,14.545,6.563,56.067,17.648,14.693,179.186,0.814,18.104,13,5.519,4.339,176.665,13.987,1.201,0.833,0.994,0.2002002,1.201
14,191.068,14.543,6.899,14.543,6.899,54.067,16.221,14.998,2.174,0.821,17.875,14,9.268,13.692,45.573,13.65,1.082,0.925,0.995,0.21688355,1.082
