time_n,cent_xn,ave_xn,time_e,back_xe,front_xe,ave_xe
0,0.000574594,1.20E-05,0.067,0,0,0
0.001000001,0.000577609,4.15E-05,0.133,0.194164309,0.078501362,0.136332835
0.002000001,0.000592194,1.10E-05,0.200,0.485877288,0.316449107,0.401163198
0.003000001,0.000603681,5.55E-05,0.267,0.828705146,0.615254747,0.721979946
0.004000001,0.000613675,-2.35E-05,0.333,1.20915034,0.91705783,1.063104085
0.005000001,0.00062312,-2.24E-04,0.400,1.580268282,1.277909588,1.429088935
0.006000001,0.000635101,7.98E-04,0.467,2.056340848,1.687161683,1.871751265
0.007000001,0.000651516,3.03E-03,0.533,2.448059655,2.125961923,2.287010789
0.008000001,0.000668899,2.58E-03,0.600,3.018476897,2.497716634,2.758096766
0.009000001,0.000691333,1.21E-03,0.667,3.580934287,3.012075157,3.296504722
0.01,0.000720489,-4.43E-03,0.733,4.142913288,3.439981275,3.791447282
0.011,0.000760326,-5.75E-03,0.800,4.647519309,3.983338424,4.315428867
0.012,0.000814057,-5.24E-03,0.867,5.181238565,4.582926724,4.882082644
0.013,0.000886416,-6.79E-03,0.933,5.790506516,5.041535686,5.416021101
0.014,0.000977143,-7.40E-03,1.000,6.429850152,5.565436536,5.997643344
0.015,0.001089517,-1.09E-02,1.067,6.944611091,6.109719432,6.527165261
0.016,0.00122366,-1.21E-02,1.133,7.525619292,6.719180616,7.122399954
0.017,0.001376265,-1.14E-02,1.200,8.078441494,7.270730215,7.674585855
0.018,0.001548072,-1.65E-02,1.267,8.717633579,7.785557173,8.251595376
0.019,0.001748365,-2.22E-02,1.333,9.278864306,8.339317716,8.809091011
0.02,0.001976821,-2.85E-02,1.400,9.821117052,8.9669452,9.394031126
0.021,0.002242901,-3.61E-02,1.467,10.37325029,9.499952714,9.936601502
0.022,0.002543834,-4.39E-02,1.533,11.00358217,10.03379227,10.51868722
0.023,0.00289703,-4.86E-02,1.600,11.51914165,10.62689349,11.07301757
0.024,0.003312107,-5.31E-02,1.667,12.05257599,11.19833044,11.62545322
0.025,0.003782646,-5.83E-02,,,,
0.026,0.004290131,-6.19E-02,,,,
0.027,0.004825721,-6.63E-02,,,,
0.028,0.005409366,-7.00E-02,,,,
0.029,0.006010449,-7.21E-02,,,,
0.03,0.006659776,-6.60E-02,,,,
0.031,0.007325,-6.04E-02,,,,
0.032,0.007995141,-5.64E-02,,,,
0.033,0.008743737,-4.91E-02,,,,
0.034,0.00949487,-4.42E-02,,,,
0.035,0.01027823,-4.07E-02,,,,
0.036,0.01109432,-3.60E-02,,,,
0.037,0.01191831,-3.26E-02,,,,
0.038,0.01279635,-2.86E-02,,,,
0.039,0.01368925,-2.55E-02,,,,
0.04,0.01465023,-2.46E-02,,,,
0.041,0.01560085,-2.03E-02,,,,
0.042,0.01659232,-1.78E-02,,,,
0.043,0.01755876,-1.53E-02,,,,
0.044,0.01866305,-1.55E-02,,,,
0.045,0.01975249,-1.44E-02,,,,
0.046,0.02083408,-1.50E-02,,,,
0.047,0.02192138,-1.15E-02,,,,
0.048,0.02305952,-7.92E-03,,,,
0.049,0.0242407,-5.84E-03,,,,
0.05,0.0253997,-1.73E-03,,,,
0.051,0.02658692,1.59E-03,,,,
0.052,0.0278371,3.20E-03,,,,
0.053,0.0290235,3.98E-03,,,,
0.054,0.03027835,5.40E-03,,,,
0.055,0.0315231,6.48E-03,,,,
0.056,0.03275504,8.10E-03,,,,
0.057,0.03402542,9.93E-03,,,,
0.058,0.03528928,1.26E-02,,,,
0.059,0.03658353,1.38E-02,,,,
0.06,0.03788036,1.12E-02,,,,
0.061,0.03919138,1.30E-02,,,,
0.062,0.04050694,1.08E-02,,,,
0.063,0.04182986,8.00E-03,,,,
0.064,0.04314719,6.74E-03,,,,
0.065,0.0445653,6.87E-03,,,,
0.066,0.04597004,7.31E-03,,,,
0.067,0.04742118,5.63E-03,,,,
0.068,0.04881303,1.81E-03,,,,
0.069,0.05027884,-1.47E-03,,,,
0.07,0.05173698,-2.03E-03,,,,
0.071,0.0532393,-4.66E-03,,,,
0.072,0.05474205,-5.40E-03,,,,
0.073,0.05632119,-3.76E-03,,,,
0.074,0.05783041,-3.92E-04,,,,
0.075,0.05934985,1.68E-03,,,,
0.076,0.06097823,5.79E-03,,,,
0.077,0.06253381,1.21E-02,,,,
0.078,0.06422744,1.85E-02,,,,
0.079,0.06584349,2.21E-02,,,,
0.08,0.06748139,2.54E-02,,,,
0.081,0.06914873,2.60E-02,,,,
0.082,0.07080362,2.78E-02,,,,
0.083,0.07253092,2.97E-02,,,,
0.084,0.07422632,2.65E-02,,,,
0.085,0.07600908,2.20E-02,,,,
0.086,0.07777374,2.35E-02,,,,
0.087,0.07951781,2.64E-02,,,,
0.088,0.08133515,3.12E-02,,,,
0.089,0.08317828,3.30E-02,,,,
0.09,0.0849386,3.30E-02,,,,
0.091,0.08680804,3.39E-02,,,,
0.092,0.08868976,3.35E-02,,,,
0.093,0.09055116,3.42E-02,,,,
0.094,0.09248056,3.71E-02,,,,
0.095,0.09439325,4.10E-02,,,,
0.096,0.09626575,4.27E-02,,,,
0.097,0.09817665,4.60E-02,,,,
0.098,0.1001865,4.73E-02,,,,
0.099,0.1021917,4.71E-02,,,,
0.1,0.1041325,4.34E-02,,,,
0.101,0.1061682,3.35E-02,,,,
0.102,0.1082178,2.61E-02,,,,
0.103,0.1103597,2.54E-02,,,,
0.104,0.1123869,2.52E-02,,,,
0.105,0.1145079,3.53E-02,,,,
0.106,0.1166003,5.11E-02,,,,
0.107,0.1187126,5.35E-02,,,,
0.108,0.1209573,5.54E-02,,,,
0.109,0.1231215,5.91E-02,,,,
0.11,0.1253858,6.01E-02,,,,
0.111,0.1276,6.20E-02,,,,
0.112,0.1299152,6.57E-02,,,,
0.113,0.132165,6.96E-02,,,,
0.114,0.1344847,7.59E-02,,,,
0.115,0.1366797,7.75E-02,,,,
0.116,0.1391367,8.05E-02,,,,
0.117,0.1414618,8.51E-02,,,,
0.118,0.1437943,9.14E-02,,,,
0.119,0.146225,9.28E-02,,,,
0.12,0.1485789,9.61E-02,,,,
0.121,0.1510669,9.96E-02,,,,
0.122,0.1534612,1.02E-01,,,,
0.123,0.1559254,1.06E-01,,,,
0.124,0.1583743,1.08E-01,,,,
0.125,0.1608393,1.10E-01,,,,
0.126,0.1634295,1.08E-01,,,,
0.127,0.1658731,1.05E-01,,,,
0.128,0.1684496,1.09E-01,,,,
0.129,0.17101,1.14E-01,,,,
0.13,0.1735754,1.16E-01,,,,
0.131,0.1761423,1.17E-01,,,,
0.132,0.1788063,1.21E-01,,,,
0.133,0.1813448,1.24E-01,,,,
0.134,0.1839733,1.28E-01,,,,
0.135,0.18668,1.34E-01,,,,
0.136,0.1892959,1.39E-01,,,,
0.137,0.1919351,1.43E-01,,,,
0.138,0.1946631,1.47E-01,,,,
