time,back,front,average
0.066666667,37.57693779,71.55461895,54.56577837
0.133333333,39.82399017,74.01432555,56.91915786
0.2,42.91205163,76.42106496,59.6665583
0.266666667,46.56564444,79.42881313,62.99722878
0.333333333,50.06833712,82.65544656,66.36189184
0.4,54.81355914,86.33857165,70.57606539
0.466666667,59.1558065,90.79738073,74.97659361
0.533333333,64.3628338,95.33086401,79.8468489
0.6,69.57477602,100.0721587,84.82346734
0.666666667,75.44776947,105.2789593,90.36336438
0.733333333,82.16522559,110.5990764,96.382151
0.8,87.94380011,115.3276305,101.6357153
0.866666667,94.0850697,121.1332804,107.609175
0.933333333,100.3260765,127.5458483,113.9359624
1,106.0052066,133.2067221,119.6059643
1.066666667,112.2508814,139.1426084,125.6967449
1.133333333,118.9976734,144.911334,131.9545037
1.2,125.5314516,150.5767323,138.0540919
1.266666667,131.6876729,157.1241065,144.4058897
1.333333333,137.7391727,162.9074379,150.3233053
1.4,143.8167292,169.5116255,156.6641773
1.466666667,150.3347275,174.7912073,162.5629674
1.533333333,156.6547671,181.406537,169.0306521
