time,back,front,average
0,170.1555,186.9045,178.542
0.0667334,170.679,186.529,178.598
0.08341675,171.548,187.258,179.464
0.1001001,170.8005,186.8475,178.776
0.11678345,170.8945,186.3455,178.703
0.1334668,171.638,187.172,179.43
0.15015015,171.493,187.147,179.403
0.1668335,171.5245,187.0655,179.378
0.18351685,171.986,187.56,179.808
0.2002002,172.0935,187.5525,179.872
0.21688355,172.295,187.907,180.23
0.2335669,172.513,188.283,180.425
0.25025025,172.5885,188.2395,180.471
0.2669336,172.827,188.623,180.749
0.28361695,173.301,189.055,181.225
0.3003003,173.436,189.04,181.272
0.31698365,173.6535,189.1925,181.39
0.333667,174.191,189.717,182.026
0.35035035,174.3365,189.8355,182.13
0.3670337,174.6405,190.0715,182.349
0.38371705,175.038,190.512,182.768
0.4004004,175.331,190.805,183.031
0.41708375,175.659,191.105,183.377
0.4337671,175.962,191.504,183.789
0.45045045,176.286,191.844,184.106
0.4671338,176.571,192.165,184.389
0.48381715,177.0985,192.5235,184.893
0.500500501,177.5145,192.8695,185.242
0.517183851,177.8405,193.2435,185.595
0.533867201,178.265,193.671,186.049
0.550550551,178.691,193.957,186.48
0.567233901,179.1225,194.4375,186.861
0.583917251,179.508,194.874,187.29
0.600600601,180.042,195.342,187.841
0.617283951,180.3395,195.7785,188.229
0.633967301,180.8885,196.1855,188.658
0.650650651,181.3555,196.6945,189.121
0.667334001,181.9065,197.1075,189.618
0.684017351,182.4535,197.6605,190.154
0.700700701,182.971,198.151,190.644
0.717384051,183.466,198.586,191.162
0.734067401,184.026,199.09,191.653
0.750750751,184.5905,199.6155,192.236
0.767434101,185.1735,200.2265,192.816
0.784117451,185.761,200.835,193.461
0.800800801,186.3015,201.3985,193.963
0.817484151,186.8635,201.9185,194.438
0.834167501,187.501,202.481,194.99
0.850850851,188.092,203.116,195.603
0.867534201,188.753,203.725,196.176
0.884217551,189.412,204.288,196.767
0.900900901,190.0745,204.9195,197.412
0.917584251,190.7105,205.5335,198
0.934267601,191.4085,206.2115,198.707
0.950950951,192.073,206.909,199.384
0.967634301,192.7665,207.5595,200.07
0.984317651,193.434,208.228,200.706
1.001001001,194.145,208.905,201.425
1.017684351,194.8825,209.5895,202.119
1.034367701,195.551,210.287,202.807
1.051051051,196.352,211.028,203.64
1.067734401,197.088,211.704,204.382
1.084417751,197.773,212.505,205.096
1.101101101,198.5735,213.1425,205.847
1.117784451,199.2715,213.9165,206.605
1.134467801,200.1275,214.6785,207.401
1.151151151,200.9085,215.4575,208.213
1.167834501,201.6855,216.1365,208.982
1.184517851,202.5185,216.9255,209.721
1.201201201,203.299,217.747,210.617
1.217884551,204.104,218.574,211.47
1.234567901,204.929,219.341,212.218
1.251251251,205.724,220.122,213.044
1.267934601,206.5475,220.8805,213.835
1.284617951,207.448,221.7,214.611
1.301301301,208.365,222.509,215.348
1.317984651,209.155,223.355,216.169
1.334668001,209.9835,224.1825,216.973
1.351351351,210.801,225.009,217.726
1.368034701,211.6455,225.8445,218.548
1.384718051,212.4785,226.7135,219.4
1.401401401,213.402,227.582,220.358
1.418084751,214.312,228.392,221.193
1.434768101,215.1855,229.2225,222.001
1.451451451,216.045,230.095,222.879
1.468134801,217.068,230.99,223.885
1.484818151,217.9255,231.8865,224.842
1.501501502,218.837,232.737,225.747
1.518184852,219.765,233.655,226.728
1.534868202,220.6685,234.5895,227.606
1.551551552,221.5925,235.4895,228.574
1.568234902,222.476,236.316,229.407
1.584918252,223.3805,237.2935,230.459
1.601601602,224.3985,238.1415,231.389
1.618284952,225.306,239.106,232.371
1.634968302,226.2855,240.0105,233.342
1.651651652,227.264,240.956,234.312
1.668335002,228.1035,241.8705,235.116
1.685018352,229.098,242.814,236.093
1.701701702,230.1195,243.6705,237.059
1.718385052,230.957,244.645,237.773
1.735068402,232.014,245.672,238.795
1.751751752,232.9345,246.5855,239.686
1.768435102,233.851,247.491,240.549
1.785118452,234.9555,248.4285,241.647
1.801801802,235.9305,249.3395,242.584
1.818485152,236.916,250.342,243.621
1.835168502,237.93,251.352,244.658
1.851851852,238.9005,252.2875,245.581
1.868535202,239.9295,253.3145,246.642
1.885218552,240.946,254.258,247.623
1.901901902,241.8825,255.2275,248.602
1.918585252,242.869,256.193,249.582
1.935268602,243.8985,257.0675,250.523
