time,back,front,average
0,147.96,171.652,159.776
0.01668335,147.9535,171.6845,159.784
0.05005005,147.7505,171.2955,159.512
0.0667334,148.509,172.933,160.517
0.11678345,149.438,172.452,161.008
0.1334668,148.921,171.761,160.121
0.15015015,148.69,171.522,159.472
0.1668335,149.7605,172.3535,160.783
0.18351685,150.532,171.664,161.243
0.2002002,149.836,172.528,160.585
0.21688355,150.3925,172.9335,161.543
0.2335669,150.6645,172.9415,161.825
0.25025025,150.729,173.527,162.034
0.2669336,151.2875,174.2885,162.813
0.28361695,151.6375,174.2085,163.104
0.3003003,151.729,174.663,163.406
0.31698365,152.541,175.507,164.486
0.333667,152.8255,175.6025,164.912
0.35035035,153.3405,175.9855,165.185
0.3670337,153.865,176.395,165.598
0.38371705,154.3725,176.6855,166.046
0.4004004,154.8445,177.2175,166.525
0.41708375,155.4295,177.5245,167.412
0.4337671,155.8695,177.9845,167.477
0.45045045,156.423,178.429,168.025
0.4671338,157.0485,179.0235,168.568
0.48381715,157.7025,179.4235,169.298
0.500500501,158.232,180.062,169.946
0.517183851,158.9005,180.6835,170.62
0.533867201,159.5225,181.2655,171.397
0.550550551,160.0755,181.8785,171.879
0.567233901,160.6755,182.6465,172.621
0.583917251,161.234,183.2,173.014
0.600600601,161.6955,183.7805,173.476
0.617283951,162.512,184.614,174.232
0.633967301,163.173,185.269,174.852
0.650650651,163.9345,185.9835,175.57
0.667334001,164.8065,186.7235,176.429
0.684017351,165.531,187.439,177.07
0.700700701,166.3835,188.1285,177.71
0.717384051,167.2575,188.8365,178.576
0.734067401,168.053,189.507,179.213
0.750750751,168.9825,190.1055,179.925
0.767434101,169.856,190.88,180.722
0.784117451,170.753,191.587,181.545
0.800800801,171.698,192.456,182.444
0.817484151,172.6235,193.3145,183.337
0.834167501,173.5625,194.2375,184.166
0.850850851,174.5215,195.1925,185.254
0.867534201,175.4855,196.1125,186.158
0.884217551,176.331,197.175,187.104
0.900900901,177.1405,198.1235,187.828
0.917584251,178.052,199.08,188.793
0.934267601,178.9575,200.0325,189.663
0.950950951,179.9315,201.0325,190.622
0.967634301,180.965,202.033,191.523
0.984317651,181.986,203.082,192.586
1.001001001,183.057,204.119,193.694
1.017684351,184.2405,205.1095,194.759
1.034367701,185.3305,206.1315,195.899
1.051051051,186.433,207.097,196.796
1.067734401,187.6185,207.9935,197.75
1.084417751,188.776,208.97,198.674
1.101101101,189.9715,209.9585,199.8
1.117784451,191.15,211.04,200.943
1.134467801,192.4095,212.2065,202.256
1.151151151,193.6215,213.3585,203.525
1.167834501,194.815,214.511,204.762
1.184517851,195.9865,215.7335,205.955
1.201201201,197.0415,216.8665,206.986
1.217884551,198.1575,218.0885,208.077
1.234567901,199.2315,219.2365,209.171
1.251251251,200.435,220.459,210.296
1.267934601,201.6455,221.6545,211.529
1.284617951,202.884,222.932,212.782
1.301301301,204.1715,224.2165,214.114
1.317984651,205.458,225.418,215.316
1.334668001,206.8115,226.5825,216.54
1.351351351,208.142,227.72,217.671
1.368034701,210.681,226.711,218.719
1.384718051,212.0295,227.8465,219.946
1.401401401,213.2555,229.2045,221.273
1.418084751,213.481,232.463,222.666
1.434768101,214.9115,233.7645,224.262
1.451451451,216.2535,235.1345,225.658
1.468134801,217.5525,236.5075,227.038
1.484818151,218.884,237.884,228.415
1.501501502,220.1195,239.1945,229.626
1.518184852,221.4215,240.4505,230.87
1.534868202,222.7405,241.8795,232.248
1.551551552,224.095,243.159,233.642
1.568234902,225.3715,244.5565,235.017
1.584918252,226.7785,245.9495,236.483
1.601601602,228.1995,247.2385,237.834
1.618284952,229.6335,248.4685,239.117
1.634968302,231.0795,249.8005,240.463
1.651651652,232.4835,251.0785,241.77
1.668335002,233.957,252.363,243.113
1.685018352,235.3845,253.6935,244.476
1.701701702,236.8255,255.0485,245.911
1.718385052,238.261,256.475,247.324
1.735068402,239.714,257.918,248.827
1.751751752,241.096,259.376,250.237
1.768435102,242.46,260.752,251.593
1.785118452,243.886,262.122,252.912
1.801801802,245.206,263.548,254.248
1.818485152,246.607,264.995,255.741
1.835168502,248.0755,266.4305,257.174
1.851851852,249.5315,267.8445,258.603
1.868535202,251.046,269.21,260.035
1.885218552,252.538,270.54,261.414
1.901901902,254.016,271.896,262.838
1.918585252,255.515,273.193,264.158
1.935268602,256.9925,274.6055,265.603
1.951951952,258.5155,276.0205,267.135
1.968635302,259.9725,277.4535,268.62
