time,back,front,average
0.000,93.1429,121.8769,107.5265
0.100,94.9215,121.6531,108.2892
0.133,95.4486,121.8452,108.6871
0.167,96.11765,122.48795,109.3199
0.200,97.27935,123.23785,110.3098
0.234,98.57915,124.20445,111.3996
0.267,99.516,125.419,112.5127
0.300,100.7863,126.6541,113.7719
0.334,102.3286,128.096,115.2337
0.367,103.92715,129.60205,116.7882
0.400,105.7369,131.2547,118.4982
0.434,107.42085,132.91495,120.1835
0.467,109.46925,134.68515,122.0693
0.501,111.57315,136.52305,124.0398
0.534,113.91085,138.48155,126.2195
0.567,116.34795,140.46225,128.4151
0.601,118.6588,142.6896,130.6625
0.634,121.09525,144.90835,133.0051
0.667,123.706,147.3116,135.5501
0.701,126.51395,149.87705,138.1965
0.734,129.16455,152.36045,140.8076
0.767,131.81585,154.96195,143.4082
0.801,134.80895,157.58005,146.2359
0.834,137.957,160.2814,149.1885
0.868,140.95855,163.13205,152.0654
0.901,143.9389,165.8811,154.9287
0.934,147.00865,168.78095,157.9527
0.968,150.1674,171.8312,161.0529
1.001,153.39815,174.92805,164.1807
1.034,156.48475,177.81125,167.217
1.068,159.8399,180.9033,170.4471
1.101,163.33545,184.09415,173.7295
1.134,166.70225,187.17455,176.9722
1.168,169.93715,190.26685,180.1358
1.201,173.3408,193.5494,183.4576
1.235,176.74085,196.83535,186.8282
1.268,180.0301,199.9931,190.0824
1.301,183.5518,203.277,193.4692
1.335,187.06915,206.68465,196.8958
1.368,190.5182,209.8018,200.2157
1.401,193.9957,213.1297,203.5877
1.435,197.5095,216.5407,207.0462
1.468,200.89075,219.96485,210.4732
1.502,204.3757,223.2857,213.8428
1.535,207.888,226.6978,217.3301
1.568,211.48185,230.02855,220.8079
1.602,214.93145,233.26495,224.136
1.635,218.44945,236.67155,227.6219
1.668,221.88185,240.28395,231.1148
1.702,225.3151,243.5367,234.4631
1.735,228.84005,247.05575,237.986
1.768,232.41455,250.40605,241.4275
1.802,235.89145,253.73475,244.8243
1.835,239.30235,257.12905,248.2785
1.869,242.793,260.6826,251.7462
1.902,246.1432,264.018,255.1272
1.935,249.67305,267.41335,258.5519
