time,back,front,average
0,186.2275,210.2245,198.148
0.0333667,187.8385,209.3435,198.302
0.08341675,187.9255,209.2285,198.352
0.1001001,187.2,208.776,197.913
0.11678345,188.2875,209.1105,198.637
0.1334668,187.9915,209.0925,198.39
0.15015015,187.9755,209.0005,197.813
0.1668335,188.7345,209.5675,198.966
0.18351685,188.8415,209.8305,198.878
0.2002002,188.768,209.454,198.806
0.21688355,189.2255,209.8945,199.199
0.2335669,189.526,210.41,199.754
0.25025025,189.5015,210.4565,199.608
0.2669336,189.9795,210.6165,200.056
0.28361695,190.13,210.91,200.122
0.3003003,190.3735,211.3425,200.652
0.31698365,190.8065,211.8195,200.911
0.333667,191.0415,211.8565,201.222
0.35035035,191.3555,212.1865,201.438
0.3670337,191.7805,212.6895,202.076
0.38371705,192.2195,212.9345,202.364
0.4004004,192.523,213.239,202.631
0.41708375,193.017,213.707,203.266
0.4337671,193.449,214.049,203.647
0.45045045,193.9545,214.4015,204.155
0.4671338,194.438,214.798,204.589
0.48381715,194.928,215.318,205.173
0.500500501,195.38,215.702,205.549
0.517183851,195.8525,216.1655,206.044
0.533867201,196.3235,216.6465,206.524
0.550550551,196.8155,217.1325,206.982
0.567233901,197.244,217.748,207.506
0.583917251,197.8255,218.2365,208.005
0.600600601,198.407,218.827,208.671
0.617283951,198.936,219.404,209.203
0.633967301,199.484,219.996,209.729
0.650650651,200.061,220.511,210.289
0.667334001,200.6595,221.0505,210.852
0.684017351,201.3335,221.5865,211.458
0.700700701,201.918,222.122,211.928
0.717384051,202.589,222.715,212.654
0.734067401,203.2995,223.3205,213.15
0.750750751,204.019,223.955,213.836
0.767434101,204.699,224.617,214.454
0.784117451,205.4265,225.2515,215.064
0.800800801,206.112,225.94,215.742
0.817484151,206.802,226.574,216.339
0.834167501,207.439,227.221,216.925
0.850850851,208.7265,226.3175,217.574
0.867534201,208.8495,228.6625,218.293
0.884217551,209.5445,229.3615,219.002
0.900900901,210.267,230.133,219.785
0.917584251,211.045,230.975,220.614
0.934267601,211.8435,231.7165,221.422
0.950950951,212.641,232.443,222.174
0.967634301,213.436,233.104,222.874
0.984317651,214.24,233.862,223.742
1.001001001,215.0295,234.6045,224.575
1.017684351,215.891,235.349,225.548
1.034367701,216.7875,236.1205,226.406
1.051051051,217.645,236.965,227.297
1.067734401,218.5335,237.7305,228.146
1.084417751,219.3785,238.5635,228.97
1.101101101,220.2695,239.4445,229.912
1.117784451,221.11,240.266,230.8
1.134467801,221.925,241.095,231.682
1.151151151,222.7485,241.9915,232.602
1.167834501,223.6635,242.8825,233.557
1.184517851,224.506,243.824,234.534
1.201201201,225.3705,244.6875,235.32
1.217884551,226.3685,245.5555,236.317
1.234567901,227.2895,246.4345,237.14
1.251251251,228.243,247.281,238.029
1.267934601,229.175,248.159,238.84
1.284617951,230.1025,249.0735,239.728
1.301301301,231.166,249.938,240.562
1.317984651,232.1785,250.8255,241.535
1.334668001,233.1195,251.7965,242.539
1.351351351,234.141,252.721,243.478
1.368034701,235.092,253.672,244.421
1.384718051,236.031,254.619,245.335
1.401401401,237.0455,255.5845,246.358
1.418084751,237.948,256.608,247.32
1.434768101,238.9285,257.5635,248.272
1.451451451,239.924,258.612,249.296
1.468134801,240.97,259.582,250.358
1.484818151,242.0165,260.5435,251.424
1.501501502,243.0185,261.5275,252.454
1.518184852,244.0555,262.5185,253.461
1.534868202,245.0905,263.4655,254.423
1.551551552,246.1255,264.3905,255.389
1.568234902,247.24,265.362,256.4
1.584918252,248.2795,266.4345,257.401
1.601601602,249.3695,267.3965,258.368
1.618284952,250.4055,268.4265,259.332
1.634968302,251.467,269.487,260.251
1.651651652,252.449,270.423,261.208
1.668335002,253.467,271.489,262.243
1.685018352,254.5315,272.5605,263.295
1.701701702,255.6025,273.6315,264.424
1.718385052,256.665,274.675,265.498
1.735068402,257.768,275.704,266.605
1.751751752,258.831,276.773,267.688
1.768435102,259.9265,277.7755,268.672
1.785118452,261.0255,278.7725,269.681
1.801801802,262.1835,279.8325,270.797
1.818485152,263.3155,280.8565,271.891
1.835168502,264.4315,281.9105,272.919
1.851851852,265.5575,282.9785,274.024
1.868535202,266.662,284.036,275.005
1.885218552,267.7445,285.0955,276.013
1.901901902,268.8355,286.1845,277.07
1.918585252,269.9235,287.2865,278.214
1.935268602,270.964,288.362,279.238
1.951951952,272.0465,289.4515,280.276
1.968635302,273.197,290.575,281.459
