time,back,front,average
0,100.3515,127.9645,114.158
0.01668335,100.0475,128.1505,114.099
0.05005005,101.3995,126.6565,114.028
0.0667334,101.6165,126.1255,113.871
0.08341675,101.2125,126.8475,114.03
0.1001001,103.0745,127.2275,115.151
0.11678345,102.992,127.66,115.326
0.1334668,103.1445,127.5995,115.372
0.15015015,103.176,127.978,115.577
0.1668335,104.246,128.714,116.48
0.18351685,104.5635,129.6985,117.131
0.2002002,105.61,129.276,117.443
0.21688355,105.526,129.984,117.755
0.2335669,106.584,130.704,118.644
0.25025025,106.88,131.19,119.035
0.2669336,108.3395,131.8785,120.109
0.28361695,108.3055,132.6105,120.458
0.3003003,109.2295,133.3025,121.266
0.31698365,110.2615,134.1985,122.23
0.333667,110.8365,134.7175,122.777
0.35035035,111.8985,135.6935,123.796
0.3670337,112.863,136.581,124.722
0.38371705,113.772,137.336,125.554
0.4004004,114.9225,138.3315,126.627
0.41708375,116.062,139.298,127.68
0.4337671,116.9495,140.3125,128.631
0.45045045,118.0575,141.2925,129.675
0.4671338,119.2215,142.2385,130.73
0.48381715,120.5765,143.4555,132.016
0.500500501,121.5715,144.6445,133.108
0.517183851,123.1195,145.6705,134.395
0.533867201,124.359,146.845,135.602
0.550550551,125.6465,148.0715,136.859
0.567233901,127.0475,149.2785,138.163
0.583917251,128.3795,150.4945,139.437
0.600600601,129.649,151.749,140.699
0.617283951,130.9555,152.9065,141.931
0.633967301,132.434,154.208,143.321
0.650650651,133.901,155.449,144.675
0.667334001,135.276,156.724,146
0.684017351,136.7,158.066,147.383
0.700700701,138.163,159.421,148.792
0.717384051,139.746,160.874,150.31
0.734067401,141.2565,162.2775,151.767
0.750750751,142.7335,163.6585,153.196
0.767434101,144.2495,165.0625,154.656
0.784117451,145.7215,166.4365,156.079
0.800800801,147.3195,167.9245,157.622
0.817484151,148.9055,169.4865,159.196
0.834167501,150.5295,170.9285,160.729
0.850850851,152.1305,172.4955,162.313
0.867534201,153.8465,174.0435,163.945
0.884217551,155.556,175.588,165.572
0.900900901,157.083,177.049,167.066
0.917584251,158.925,178.671,168.798
0.934267601,160.5565,180.1955,170.376
0.950950951,162.126,181.79,171.958
0.967634301,163.931,183.481,173.706
0.984317651,165.6505,185.1255,175.388
1.001001001,167.2785,186.7835,177.031
1.017684351,169.009,188.453,178.731
1.034367701,170.737,190.039,180.388
1.051051051,172.4495,191.6165,182.033
1.067734401,174.3055,193.3585,183.832
1.084417751,176.0515,195.0625,185.557
1.101101101,177.854,196.698,187.276
1.117784451,179.728,198.36,189.044
1.134467801,181.483,200.005,190.744
1.151151151,183.2815,201.6725,192.477
1.167834501,185.076,203.4,194.238
1.184517851,186.831,205.055,195.943
1.201201201,188.5785,206.7915,197.685
1.217884551,190.384,208.57,199.477
1.234567901,192.2115,210.3545,201.283
1.251251251,193.9485,212.0335,202.991
1.267934601,195.779,213.795,204.787
1.284617951,197.5365,215.5115,206.524
1.301301301,199.3975,217.2585,208.328
1.317984651,201.29,219,210.145
1.334668001,203.167,220.661,211.914
1.351351351,205.014,222.514,213.764
1.368034701,206.8275,224.2065,215.517
1.384718051,208.6455,225.9825,217.314
1.401401401,210.4665,227.6575,219.062
1.418084751,212.228,229.456,220.842
1.434768101,214.1115,231.2745,222.693
1.451451451,215.9095,233.0725,224.491
1.468134801,217.7635,234.8585,226.311
1.484818151,219.5615,236.6545,228.108
1.501501502,221.3595,238.4205,229.89
1.518184852,223.2695,240.1905,231.73
1.534868202,225.0825,241.9375,233.51
1.551551552,227.01,243.706,235.358
1.568234902,228.73,245.526,237.128
1.584918252,230.6475,247.2085,238.928
1.601601602,232.406,248.996,240.701
1.618284952,234.2075,250.7745,242.491
1.634968302,236.0835,252.6165,244.35
1.651651652,237.851,254.375,246.113
1.668335002,239.5995,256.1725,247.886
1.685018352,241.438,257.936,249.687
1.701701702,243.192,259.7,251.446
1.718385052,244.9995,261.4945,253.247
1.735068402,246.974,263.136,255.055
1.751751752,248.811,264.873,256.842
1.768435102,250.5485,266.6375,258.593
1.785118452,252.419,268.413,260.416
1.801801802,254.1835,270.1445,262.164
1.818485152,255.886,271.956,263.921
1.835168502,257.657,273.787,265.722
1.851851852,259.4815,275.5125,267.497
1.868535202,261.21,277.336,269.273
1.885218552,263.0285,279.1095,271.069
1.901901902,264.812,280.874,272.843
1.918585252,266.633,282.661,274.647
1.935268602,268.487,284.287,276.387
1.951951952,270.2055,286.0465,278.126
