time,back,front,average
0,155.168,181.656,168.412
0.05005005,157.7115,178.1605,167.936
0.0667334,157.6245,177.8995,167.762
0.08341675,157.875,179.221,168.548
0.1001001,157.4705,179.5995,168.535
0.11678345,158.421,179.619,169.02
0.1334668,158.7905,179.2435,169.017
0.15015015,158.423,179.135,168.779
0.1668335,158.92,179.828,169.374
0.18351685,159.117,180.011,169.564
0.2002002,159.4325,179.5855,169.509
0.21688355,159.6415,180.1245,169.883
0.2335669,159.7485,180.3955,170.072
0.25025025,160.003,180.553,170.278
0.2669336,160.651,180.911,170.781
0.28361695,160.5865,180.9715,170.779
0.3003003,160.7695,181.3745,171.072
0.31698365,161.2115,181.8525,171.532
0.333667,161.4175,181.9425,171.68
0.35035035,161.731,182.415,172.073
0.3670337,161.995,182.919,172.457
0.38371705,162.2835,183.1245,172.704
0.4004004,162.7945,183.3715,173.083
0.41708375,163.0945,183.6455,173.37
0.4337671,163.387,183.941,173.664
0.45045045,163.8995,184.2145,174.057
0.4671338,164.3655,184.4725,174.419
0.48381715,164.835,184.899,174.867
0.500500501,165.197,185.307,175.252
0.517183851,165.6025,185.6595,175.631
0.533867201,165.9355,186.0465,175.991
0.550550551,166.279,186.513,176.396
0.567233901,166.648,186.958,176.803
0.583917251,167.069,187.431,177.25
0.600600601,167.5485,187.9255,177.737
0.617283951,168.008,188.348,178.178
0.633967301,168.415,188.783,178.599
0.650650651,168.9145,189.1675,179.041
0.667334001,169.477,189.599,179.538
0.684017351,169.982,190.022,180.002
0.700700701,170.5575,190.4885,180.523
0.717384051,171.144,190.9,181.022
0.734067401,171.693,191.409,181.551
0.750750751,172.286,191.88,182.083
0.767434101,172.713,192.447,182.58
0.784117451,173.16,193.028,183.094
0.800800801,173.666,193.64,183.653
0.817484151,174.258,194.192,184.225
0.834167501,174.767,194.743,184.755
0.850850851,175.422,195.348,185.385
0.867534201,175.9675,195.9305,185.949
0.884217551,176.5965,196.4355,186.516
0.900900901,177.258,196.99,187.124
0.917584251,177.9405,197.5535,187.747
0.934267601,178.5675,198.1005,188.334
0.950950951,179.2835,198.6785,188.981
0.967634301,179.957,199.231,189.594
0.984317651,180.56,199.852,190.206
1.001001001,181.2165,200.5175,190.867
1.017684351,181.793,201.259,191.526
1.034367701,182.3715,201.9225,192.147
1.051051051,183.068,202.61,192.839
1.067734401,183.6645,203.2855,193.475
1.084417751,184.286,203.962,194.124
1.101101101,185.022,204.612,194.817
1.117784451,185.759,205.247,195.503
1.134467801,186.574,205.846,196.21
1.151151151,187.31,206.472,196.891
1.167834501,188.111,207.125,197.618
1.184517851,188.7755,207.7885,198.282
1.201201201,189.536,208.464,199
1.217884551,190.308,209.222,199.765
1.234567901,190.9785,209.9435,200.461
1.251251251,191.6675,210.7085,201.188
1.267934601,192.367,211.521,201.944
1.284617951,193.026,212.272,202.649
1.301301301,193.8165,212.9715,203.394
1.317984651,194.573,213.717,204.145
1.334668001,195.388,214.424,204.906
1.351351351,196.181,215.125,205.653
1.368034701,197.044,215.8,206.422
1.384718051,197.868,216.528,207.198
1.401401401,198.696,217.238,207.967
1.418084751,199.5545,218.0095,208.782
1.434768101,200.231,218.771,209.501
1.451451451,200.991,219.603,210.297
1.468134801,201.718,220.432,211.075
1.484818151,202.4875,221.2665,211.877
1.501501502,203.2965,222.0635,212.68
1.518184852,204.104,222.85,213.477
1.534868202,204.9455,223.6225,214.284
1.551551552,205.7235,224.4005,215.062
1.568234902,206.648,225.15,215.899
1.584918252,207.514,225.846,216.68
1.601601602,208.3785,226.6355,217.507
1.618284952,209.2795,227.4085,218.344
1.634968302,210.0785,228.2355,219.157
1.651651652,210.833,229.101,219.967
1.668335002,211.6625,229.9515,220.807
1.685018352,212.48,230.838,221.659
1.701701702,213.3255,231.6985,222.512
1.718385052,214.1245,232.5675,223.346
1.735068402,214.965,233.347,224.156
1.751751752,215.864,234.16,225.012
1.768435102,216.796,234.966,225.881
1.785118452,217.688,235.726,226.707
1.801801802,218.5965,236.4975,227.547
1.818485152,219.5185,237.3295,228.424
1.835168502,220.357,238.157,229.257
1.851851852,221.197,238.995,230.096
1.868535202,221.985,239.921,230.953
1.885218552,222.827,240.829,231.828
1.901901902,223.668,241.768,232.718
1.918585252,224.4975,242.6025,233.55
1.935268602,225.389,243.425,234.407
1.951951952,226.2365,244.2335,235.235
